'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Section header 1,"'First Generation",'0,'44.75097656
'1,'Text 1,"'1. Elizabeth II Alexandra Mary Windsor Queen of England was born on 21 Apr 1926 in 17 Bruton St., London, W1, England. She died on 8 Sep 2022 at the age of 96 in Balmoral Castle, Scotland. Elizabeth II Alexandra Mary Windsor Queen of England and Philip Mountbatten Prince were married on 20 Nov 1947 in Westminster, Abbey, London, England.",'1,'96.92382813
'1,'Text 2,"'Philip Mountbatten Prince was born on 10 Jun 1921 in Isle of Kerkira, Mon Repos, Corfu, Greece. He died on 9 Apr 2021 at the age of 99 in Windsor, England.",'2,'90.57617188
'1,'Text 3,"'Philip Mountbatten and Elizabeth Alexandra Mary Windsor had the following children:",'3,'91.60156250
'1,'List 1,"",'4,'84.13085938
'1,'Text 4 - Part of List 1,"'+2 i Charles Philip Arthur Windsor King Charles III, born 14 Nov 1948, Buckingham, Palace, London, England; married Diana Frances Spencer Princess of Wales, 29 Jul 1981, St. Paul's, Cathedral, London, England; married Camilla Rosemary Shand, 9 Apr 2005, London, England.",'5,'96.28906250
'1,'Text 5 - Part of List 1,"'+3 ii Anne Elizabeth Alice Windsor Princess, born 15 Aug 1950, Clarence House, St. James, England; married Mark Anthony Peter Phillips Captain, 14 Nov 1973, Westminster, Abbey, London, England; married Timothy Laurence, 12 Dec 1992, Balmoral, Scotland.",'6,'96.53320313
'1,'Text 6 - Part of List 1,"'+4 iii Andrew Albert Christian Windsor Duke of York, born 19 Feb 1960, Belgian Suite, Buckingham, Palace, England; married Sarah Margaret Ferguson Duchess of York, 23 Jul 1986, Westminster, Abbey, London, England.",'7,'97.02148438
'1,'Text 7 - Part of List 1,"'+5 iv Edward Anthony Richard Windsor Earl of Wessex, born 10 Mar 1964, Buckingham, Palace, London, England; married Sophie Helen Rhys-Jones Countess of Wessex, 19 Jun 1999, London, England.",'8,'96.63085938
'1,'Section header 2,"'Second Generation",'9,'83.69140625
